Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Darwin, Charles, 1809-1882",,"Journal of Researches into the Natural History and Geology of the Countries Visited During the Voyage Round the World of H.M.S. Beagle Under the Command of Captain Fitz Roy, R.N.",English,QH: Science: Natural history,South America -- Discovery and exploration,Sound,6951,"Nov 1, 2004",Copyrighted. Read the copyright notice inside this book for details.,38 downloads in the last 30 days.,$0.00,,,,,,,,A Naturalist's Voyage Round the World,,,,,,,,,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",,"Buffon's Natural History, Volume 03 (of 10)Containing a Theory of the Earth, a General History of Man, of the Brute Creation, and of Vegetables, Minerals, &c. &c.",English,QH: Science: Natural history,Natural history,Text,45639,"May 12, 2014",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,"Barr, James Smith",,,,,,,,,,,,,,,,
"Jefferies, Richard, 1848-1887",,Field and Hedgerow: Being the Last Essays of Richard Jefferies,English,QH: Science: Natural history,England -- Description and travel,Text,7030,"Dec 1, 2004",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,,,,,,,Hours of spring -- Nature and books -- The July grass -- Winds of heaven -- The country Sunday -- The country-side: Sussex -- Swallow-time -- Buckhurst Park -- House-martins -- Among the nuts -- Walks in the wheat-fields -- Just before winter -- Locality and nature -- Country places -- Field words and ways -- Cottage ideas -- April gossip -- Some April insects -- The time of year -- Mixed days of May and December -- The makers of summer -- Steam on country roads -- Field sports in art: the mammoth hunter -- Birds' nests -- Nature in the Louvre -- Summer in Somerset -- An English deer-park -- My old village -- My chaffinch.,,,,,,,,
"Somerville, Mary, 1780-1872",,"On Molecular and Microscopic Science, Volume 1 (of 2)",English,QH: Science: Natural history,Matter -- Constitution,Text,55886,"Nov 4, 2017",Public domain in the USA.,33 downloads in the last 30 days.,$0.00,,,,,,,,,"Atoms and molecules of matter: Elementary constitution of matter. On force, and the relations between force and matter. Atomic theory, analysis and synthesis of matter, utility of waste substances—coal-tar colours, etc. The solar spectrum, spectrum analysis, spectra of gases and volatilized matter, inversion of coloured lines, constitution of sun and stars -- Vegetable organisms: Microscopic structure of the vegetable world. Algæ. Fungi. Lichens. Characeæ. Hepaticæ, or liverworts. Musci, or mosses. Filices, or ferns. Equisetaceæ, or horsetails. Marsileaceæ, or rhizospermæ. Lycopodiaceæ, or club mosses. General structure of flowering plants. Monocotyledonous, or endogenous plants. Dicotyledonous, or exogenous plants.",,,,,,,,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",,"Buffon's Natural History. Volume 06 (of 10)Containing a Theory of the Earth, a General History of Man, of the Brute Creation, and of Vegetables, Minerals, &c. &c",English,QH: Science: Natural history,Natural history,Text,45731,"May 23, 2014",Public domain in the USA.,33 downloads in the last 30 days.,$0.00,"Barr, James Smith",,,,,,,,,,,,,,,,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",,"Buffon's Natural History, Volume 02 (of 10)Containing a Theory of the Earth, a General History of Man, of the Brute Creation, and of Vegetables, Mineral, &c. &c",English,QH: Science: Natural history,Natural history,Text,45602,"May 7, 2014",Public domain in the USA.,32 downloads in the last 30 days.,$0.00,"Barr, James Smith",,,,,,,,,,,,,,,,
"Darwin, Francis, Sir, 1848-1925",,"Rustic Sounds, and Other Studies in Literature and Natural History",English,QH: Science: Natural history,"Darwin, George Howard, Sir, 1845-1912",Text,34006,"Sep 27, 2010",Public domain in the USA.,31 downloads in the last 30 days.,$0.00,,18007394,,,,,,,Rustic sounds -- Francis Galton -- The movements of plants -- A lane in the Cotswalds -- Jane Austen -- The education of a man of science -- The pipe and tabor -- Stephen Hales -- Nullius in verba -- Sir George Darwin -- War music -- The teaching of science -- Picturesque experiments -- Dogs and dog lovers.,,,,,,,,
"Gibson, W. Hamilton (William Hamilton), 1850-1896",,My Studio Neighbors,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,22165,"Jul 28, 2007",Public domain in the USA.,31 downloads in the last 30 days.,$0.00,,04010720,,,,,,,A familiar guest -- The cuckoos and the outwitted cowbird -- Door-step neighbors -- A queer little family on the bittersweet -- The welcome of the flowers -- A honey-dew picnic -- A few native orchids and their insect sponsors -- The milkweed.,,,,,,,,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",,"Buffon's Natural History. Volume 04 (of 10)Containing a Theory of the Earth, a General History of Man, of the Brute Creation, and of Vegetables, Minerals, &c. &c",English,QH: Science: Natural history,Natural history,Text,45729,"May 23, 2014",Public domain in the USA.,31 downloads in the last 30 days.,$0.00,"Barr, James Smith",,,,,,,,,,,,,,,,
"Lankester, E. Ray (Edwin Ray), Sir, 1847-1929",,From an Easy Chair,English,Q: Science,Natural history,Text,61795,"Apr 10, 2020",Public domain in the USA.,28 downloads in the last 30 days.,$0.00,,,,,,,,,"Science and the study of nature -- The desire to know the world of nature -- Scares and wonders -- Work at the Pasteur Institute -- The sea serpent -- Giraffes and the okapi -- The great geologists of last century -- Experiments with precious stones -- Diamonds -- Science and fisheries -- Discoveries as to malaria -- Malta fever -- A cure for sleeping sickness -- Tsetse-flies and disease -- Monkeys and fleas -- The jigger flea -- Public estimate of the value of science -- The common house-fly and others -- Cerebral inhibition -- Colour-photography and photographs of Mars -- Origin of names by errors in copying -- False news as to extinct monsters -- Mistletoe and holly -- The cattle show -- The experimental method -- Hypnotism and an experiment on the influence of the magnet -- Luminous owls and other luminous animals and plants -- Reminiscences of Lord Kelvin -- The so-called jargon of science -- Rats and the plague -- Ancient temples and astronomy -- Alchemists of to-day and yesterday -- A story of sham diamonds and pearls -- The nature of pearls -- A king who was a zoologist -- The transmission to offspring of acquired qualities -- Variation and selection among living things -- The movement, growth, and dwindling of glaciers -- Votes for women -- Tobacco and the history of smoking -- Cruelty, pain, and knowledge.",,,,,,,,
"Lowell, James Russell, 1819-1891",,My Garden Acquaintance,English,PS: Language and Literatures: American and Canadian literature,Natural history,Text,880,"Apr 1, 1997",Public domain in the USA.,28 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Wells, Samuel",,"Through a MicroscopeSomething of the Science, Together with many Curious Observations Indoor and Out and Directions for a Home-made Microscope.",English,QH: Science: Natural history,Microscopes,Text,38428,"Dec 28, 2011",Public domain in the USA.,28 downloads in the last 30 days.,$0.00,,06028811,,,,,,,Through a microscope -- The outfit -- The objects -- Home experiments -- Cochituate water -- Interesting objects -- The brickmaker -- The vorticellas -- The Utricularia -- Free swimming animalcules -- On the beach -- Rizopods -- How to see a dandelion -- How to see a bumble bee -- Some little things to see.,,,,,,,,
"Hartwig, G. (Georg), 1813-1880",,The Polar WorldA popular description of man and nature in the Arctic and Antarctic regions of the globe,English,QH: Science: Natural history,Arctic peoples,Text,61398,"Feb 13, 2020",Public domain in the USA.,28 downloads in the last 30 days.,$0.00,,04012888,,,,,,,,,,,,,,,
"Scoville, Samuel, 1872-",,Everyday Adventures,English,QH: Science: Natural history,Natural history,Text,40919,"Oct 2, 2012",Public domain in the USA.,26 downloads in the last 30 days.,$0.00,,20019518,,,,,,,Everyday adventures -- Zero birds -- Snow stories -- A runaway day -- The raven's nest -- Hidden treasure -- Bird's-nesting -- The treasure hunt -- Orchid hunting -- The marsh dwellers -- The seven sleepers -- Dragon's blood.,,,,,,,,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",,"Buffon's Natural History. Volume 10 (of 10)Containing a Theory of the Earth, a General History of Man, of the Brute Creation, and of Vegetables, Minerals, &c. &c",English,QH: Science: Natural history,Natural history,Text,45868,"Jun 3, 2014",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,"Barr, James Smith",,,,,,,,,,,,,,,,
"Adams, W. H. Davenport (William Henry Davenport), 1828-1891",,"Everyday Objects; Or, Picturesque Aspects of Natural History.",English,QH: Science: Natural history,Natural history,Text,47586,"Dec 8, 2014",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Brehm, Alfred Edmund, 1829-1884",,Pohjoisnavalta päiväntasaajalle: Helppotajuisia esitelmiä,Finnish,QH: Science: Natural history,Birds -- Danube River,Text,51272,"Feb 21, 2016",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,"Suppanen, Aatto, 1855-1898",,Lintuvuoret Pohjolassa -- Tundra ja sen eläinmaailma -- Aasian aro ja sen eläimet -- Siperian metsät ja metsänriista sekä metsästys siellä -- Sisä-Afrikan aro ja sen eläinkunta -- Nisäkästen vaellukset -- Lintujen rakkaus ja aviot -- Apinat -- Karavaanit ja aavikkomatkat -- Maa ja asujamet Niilin koskien välillä -- Matka Siperiassa -- Pakana ostjakit -- Aron vaeltelevat paimenet ja laumat -- Kirgiisein kansan- ja perhe-elämä -- Siperian asukkaat ja pahantekijä-siirtolaiset -- Tutkimusmatkoja Tonavalla.,,,,,,,,
"Parker, Francis W. (Francis Wayland), 1837-1902",,"Uncle Robert's Geography (Uncle Robert's Visit, V.3)",English,QH: Science: Natural history,Farm life,Text,6441,"Sep 1, 2004",Public domain in the USA.,25 downloads in the last 30 days.,$0.00,,,,,,,,,Uncle Robert's coming -- Frank draws a map of the farm -- The new thermometer -- With the animals -- In the flower garden -- Sunlight and shadow -- The barometer -- A walk in the woods -- The birds and the flowers -- The thundershower -- The village -- A day on the river -- A rainy day -- The walk after the rain -- The big book.,,,,,,,,
"Gibson, W. Hamilton (William Hamilton), 1850-1896",,Eye Spy: Afield with Nature Among Flowers and Animate Things,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,38954,"Feb 22, 2012",Public domain in the USA.,24 downloads in the last 30 days.,$0.00,,,,,,,,,,Illustrated by the author.,,,,,,,
"Buffon, Georges Louis Leclerc, comte de, 1707-1788",,"Buffon's Natural History. Volume 08 (of 10)Containing a Theory of the Earth, a General History of Man, of the Brute Creation, and of Vegetables, Minerals, &c. &c",English,QH: Science: Natural history,Natural history,Text,45821,"May 29, 2014",Public domain in the USA.,24 downloads in the last 30 days.,$0.00,"Barr, James Smith",,,,,,,,,,,,,,,,
"Gosse, Philip Henry, 1810-1888",,"The Romance of Natural History, Second Series",English,QH: Science: Natural history,Natural history,Text,32800,"Jun 13, 2010",Public domain in the USA.,24 downloads in the last 30 days.,$0.00,,,,,,,,,The extinct -- The marvellous -- Mermaids -- The self-immured -- Hybernation of swallows -- The crested and wattled snake -- The doubtful -- Fascination -- Serpent-charming -- Beauty -- Parasites -- Appendix.,,,,,,,,
"Kingsley, Charles, 1819-1875",,Health and Education,English,"AC: General Works: Collections, Series, Collected works, Pamphlets",Hygiene,Text,17437,"Dec 31, 2005",Public domain in the USA.,23 downloads in the last 30 days.,$0.00,,28004329,,,,,,,"The science of health -- The two breaths -- The tree of knowledge -- Nausicaa in London; or, The lower education of woman -- The air-mothers -- Thrift -- The study of natural history -- On bio-geology -- Heroism -- Superstition -- Science -- Grots and groves -- George Buchanan, scholar -- Rondelet, the Huguenot naturalist -- Vesalius, the anatomist.",,,,,,,,
"Oken, Lorenz, 1779-1851",,Elements of Physiophilosophy,English,QH: Science: Natural history,Natural history,Text,49196,"Jun 11, 2015",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,19001094,,,,,"Tulk, Alfred, -1891",,pt. I. Mathesis -- pt. II. Ontology. Minerals -- pt. III. Biology. Vegetable kingdom. Animal kingdom.,,,,,,,,
"Bingley, William, 1774-1823",,"Useful Knowledge: Volume 2. VegetablesOr, a familiar account of the various productions of nature",English,QH: Science: Natural history,Commercial products,Text,57954,"Sep 23, 2018",Public domain in the USA.,22 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Comenius, Johann Amos, 1592-1670",,The Orbis Pictus,English,LT: Education: Textbooks,Latin language -- Readers,Text,28299,"Mar 9, 2009",Public domain in the USA.,1110 downloads in the last 30 days.,$0.00,"Bardeen, C. W. (Charles William), 1847-1924",,,,,,"Hoole, Charles, 1610-1667",,,,,,,,,,
"Hooker, Worthington, 1806-1867",,The Child's Book of NatureThree parts in one,English,Q: Science,Nature -- Juvenile literature,Text,58421,"Dec 7, 2018",Public domain in the USA.,226 downloads in the last 30 days.,$0.00,,,,,,,,,"Part I. Plants -- Part II. Animals -- Part III. Air, water, heat, light, &c.",,,,,,,,
"Long, William J. (William Joseph), 1867-1952",,Secrets of the Woods,English,QL: Science: Zoology,Animal behavior -- Juvenile literature,Text,1901,"Sep 1, 1999",Public domain in the USA.,182 downloads in the last 30 days.,$0.00,,,,,,,,,,"Wood Folk Series, Book Three",,,,,,,
"Ransome, Arthur, 1884-1967","Craine, Frances",Pond and Stream,English,QH: Science: Natural history,Rivers -- Juvenile literature,Text,40447,"Aug 8, 2012",Public domain in the USA.,132 downloads in the last 30 days.,$0.00,,,,,,,,,About the book -- The duck pond -- Stream and ditch -- Lake and river -- Our own aquarium.,,,,,,,,
"Butterworth, Hezekiah, 1839-1905","Merrill, Frank T., 1848-1923",The Story of Magellan and The Discovery of the Philippines,English,PZ: Language and Literatures: Juvenile belles lettres,Philippines -- Discovery and exploration -- Juvenile literature,Text,37814,"Oct 21, 2011",Public domain in the USA.,127 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Buckley, Arabella B. (Arabella Burton), 1840-1929",,The Fairy-Land of Science,English,Q: Science,Science -- History -- Juvenile literature,Text,5726,"May 1, 2004",Public domain in the USA.,107 downloads in the last 30 days.,$0.00,,,,,,,,,"The fairy-land of science: how to enter it; how to use it; and how to enjoy it -- Sunbeams, and the work they do -- The aerial ocean in which we live -- A drop of water on its travels -- The two great sculptors: water and ice -- The voices of nature, and how we hear them -- The life of a primrose -- The history of a piece of coal -- Bees in the hive -- Bees and flowers.",,,,,,,,
"Kingsley, Charles, 1819-1875",,"Madam How and Lady Why; Or, First Lessons in Earth Lore for Children",English,QE: Science: Geology,Natural history -- Juvenile literature,Text,1697,"Apr 1, 1999",Public domain in the USA.,102 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Brewster, Edwin Tenney, 1866-1960",,Natural Wonders,English,QH: Science: Natural history,Nature -- Juvenile literature,Text,47961,"Jan 13, 2015",Public domain in the USA.,89 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Seton, Ernest Thompson, 1860-1946",,Woodland Tales,English,QH: Science: Natural history,Natural history -- Juvenile literature,Text,23667,"Nov 30, 2007",Public domain in the USA.,81 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ewald, Carl, 1856-1908",,"The Queen Bee, and Other Nature Stories",English,PZ: Language and Literatures: Juvenile belles lettres,Natural history -- Juvenile literature,Text,40553,"Aug 21, 2012",Public domain in the USA.,73 downloads in the last 30 days.,$0.00,,09011051,,,,,"Smith, G. C. Moore (George Charles Moore), 1858-1940",,The queen bee -- The anemones -- The mist -- The beech and the oak -- The dragon-fly and the water-lily -- The weeds -- The sparrow.,,,,,,,,
"Andrews, Jane, 1833-1887",,The Stories Mother Nature Told Her Children,English,QH: Science: Natural history,Natural history -- Juvenile literature,Text,5792,"May 1, 2004",Public domain in the USA.,59 downloads in the last 30 days.,$0.00,,,,,,,,,"The story of the amber beads -- The new life -- The talk of the trees that stand in the village street -- How the Indian corn grows -- Water-lilies -- The carrying trade -- Sea-life -- What the frost giants did to Nannie's run -- How Quercus Alba went to explore the underworld, and what came of it -- Treasure-boxes -- A peep into one of God's storehouses -- The hidden light -- Sixty-two little tadpoles -- Golden-rod and asters.",,,,,,,,
"Stockton, Frank Richard, 1834-1902",,Round-about Rambles in Lands of Fact and Fancy,English,PZ: Language and Literatures: Juvenile belles lettres,Physical sciences -- Juvenile literature,Text,17582,"Jan 23, 2006",Public domain in the USA.,53 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Hawksworth, Hallam, 1863-",,The Adventures of a Grain of Dust,English,QH: Science: Natural history,Physical geography,Text,38066,"Nov 20, 2011",Public domain in the USA.,48 downloads in the last 30 days.,$0.00,,22023043,,,,,,,,,,,,,,,
Anonymous,,Chatterbox Stories of Natural History,English,QH: Science: Natural history,Animals -- Juvenile literature,Text,22408,"Aug 26, 2007",Public domain in the USA.,48 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Kingsley, Charles, 1819-1875",,"Glaucus; Or, The Wonders of the Shore",English,QL: Science: Zoology,Seashore biology -- Juvenile literature,Text,695,"Oct 1, 1996",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Pliny, the Elder, 24?-79",,"The Boys' and Girls' PlinyBeing parts of Pliny's ""Natural History"" edited for boys and girls, with an Introduction",English,QH: Science: Natural history,Physical sciences -- Juvenile literature,Text,58589,"Jan 1, 2019",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,"White, John S. (John Stuart), 1847-1922",,,,,,,,,,,,,,,,
"Ewald, Carl, 1856-1908","Reynolds, Warwick, 1880-1926",The Pond,English,QH: Science: Natural history,Natural history -- Juvenile literature,Text,31708,"Mar 20, 2010",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,"Teixeira de Mattos, Alexander, 1865-1921",,,,,,,,,,
"Buckley, Arabella B. (Arabella Burton), 1840-1929",,Through Magic Glasses and Other LecturesA Sequel to The Fairyland of Science,English,Q: Science,Science -- History -- Juvenile literature,Text,37589,"Oct 1, 2011",Public domain in the USA.,40 downloads in the last 30 days.,$0.00,,,,,,,,,The magician's chamber by moonlight -- Magic glasses and how to use them -- Fairy rings and how they are made -- The life-history of lichens and mosses -- The history of a lava stream -- An hour with the sun -- An evening among the stars -- Little beings from a miniature ocean -- The Dartmoor ponies -- The magician's dream of ancient days.,,,,,,,,
"Humphreys, Phebe Westcott, -1939",,"A Natural History for Young People: Our Animal Friends in Their Native Homesincluding mammals, birds and fishes",English,QL: Science: Zoology,Natural history -- Juvenile literature,Text,50776,"Dec 27, 2015",Public domain in the USA.,32 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Houghton, W. (William), 1828-1895",,Country Walks of a Naturalist with His Children,English,QH: Science: Natural history,Nature study -- Juvenile literature,Text,23941,"Dec 20, 2007",Public domain in the USA.,31 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Caffin, Charles H. (Charles Henry), 1854-1918",,A Child's Guide to Pictures,English,ND: Fine Arts: Painting,Painting -- Study and teaching -- Juvenile literature,Text,59040,"Mar 9, 2019",Public domain in the USA.,27 downloads in the last 30 days.,$0.00,,08022108,,,,,,,,,,,,,,,
"Macé, Jean, 1815-1894",,The History of a Mouthful of BreadAnd its effect on the organization of men and animals,English,QP: Science: Physiology,Human anatomy -- Juvenile literature,Text,6970,"Nov 1, 2004",Public domain in the USA.,26 downloads in the last 30 days.,$0.00,,,,,,,"Gatty, Alfred, Mrs., 1809-1873",,,,,,,,,,
"Herford, Oliver, 1863-1935",,A Child's Primer of Natural History,English,QH: Science: Natural history,Natural history -- Juvenile literature,Text,26331,"Aug 16, 2008",Public domain in the USA.,23 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Abbott, Jacob, 1803-1879",,Rollo's Experiments,English,QH: Science: Natural history,Natural history -- Juvenile literature,Text,24993,"Apr 5, 2008",Public domain in the USA.,21 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ransome, Arthur, 1884-1967","Craine, Frances",The Child's Book of the Seasons,English,QH: Science: Natural history,Seasons -- Juvenile literature,Text,40448,"Aug 8, 2012",Public domain in the USA.,20 downloads in the last 30 days.,$0.00,,,,,,,,,Spring -- Summer -- Autumn -- Winter.,,,,,,,,
"Packard, Winthrop, 1862-1943","Copeland, Charles, 1858-1929",Wild Pastures,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,65132,"Apr 22, 2021",Public domain in the USA.,998 downloads in the last 30 days.,$0.00,,,,,,,,,Waylaying the dawn -- Stalking the wild grape -- The frog rendezvous -- A butterfly chase -- Down stream -- Brook magic -- In the Ponkapoag bogs -- Some butterfly friends -- The resting time of the birds -- The pond at low tide -- How the rain came.,,,,,,,,
"Burroughs, John, 1837-1921",,Birds and Poets : with Other Papers,English,PS: Language and Literatures: American and Canadian literature,American essays -- 19th century,Text,5177,"Feb 1, 2004",Public domain in the USA.,119 downloads in the last 30 days.,$0.00,,,,,,,,,Birds and poets -- Touches of nature -- A bird medley -- April -- Spring poems -- Our rural divinity -- Before genius -- Before beauty -- Emerson -- The flight of the eagle.,,,,,,,,
"Torrey, Bradford, 1843-1912",,The Clerk of the Woods,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,64727,"Mar 6, 2021",Public domain in the USA.,91 downloads in the last 30 days.,$0.00,,,,,,,,,"A short month -- A full migration -- A favorite round -- In the Cambridge swamp -- A quiet afternoon -- Popular woodpeckers -- Late summer notes -- Wood silence -- Southward bound -- Four dreamers -- A day in Franconia -- With the waders -- On the North Shore again -- Autumnal moralities -- A text from Thoreau -- The pleasures of melancholy -- In the old paths -- The prosperity of a walk -- Signs of spring -- Old colony berry pastures -- Squirrels, foxes, and others -- Winter as it was -- ""Down at the store"" -- Birds at the window -- A good-by to winter -- Bird songs and bird talk -- Chipmunks, bluebirds, and robins -- March swallows -- Woodcock vespers -- Under April clouds -- Flying squirrels and spade-foot frogs -- The warblers are coming.",,,,,,,,
"Sharp, Dallas Lore, 1870-1929",,The Lay of the Land,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,50650,"Dec 8, 2015",Public domain in the USA.,84 downloads in the last 30 days.,$0.00,,08027140,,,,,,,The muskrats are building -- Christmas in the woods -- A cure for winter -- The nature-student -- Chickadee -- The missing tooth -- The sign of the shad-bush -- The nature movement -- June -- A broken feather -- High noon -- The palace in the pig-pen -- An account with nature -- The buzzard of the Bear Swamp -- The lay of the land.,,,,,,,,
"Burroughs, John, 1837-1921",,Locusts and Wild Honey,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,6355,"Aug 1, 2004",Public domain in the USA.,77 downloads in the last 30 days.,$0.00,,,,,,,,,The pastoral bees -- Sharp eyes -- Strawberries -- Is it going to rain? -- Speckled trout -- Birds and birds -- A bed of boughs -- Birds'-nesting -- The halcyon in Canada.,,,,,,,The Writings of John Burroughs Volume IV,
"Thoreau, Henry David, 1817-1862",,"Excursions, and PoemsThe Writings of Henry David Thoreau, Volume 05 (of 20)",English,PS: Language and Literatures: American and Canadian literature,"Thoreau, Henry David, 1817-1862 -- Travel -- Québec (Province)",Text,42553,"Apr 16, 2013",Public domain in the USA.,75 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Burroughs, John, 1837-1921",,A Year in the Fields,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,31292,"Feb 16, 2010",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,01022844,,,,,,,John Burroughs: a biographical sketch -- A snow storm -- Winter neighbors -- A spring relish -- April -- Birch browsings -- A bunch of herbs: Fragrant wild flowers. Weeds --Autumn tides -- A sharp lookout.,,,,,,,,
"Packard, Winthrop, 1862-1943",,Old Plymouth Trails,English,QH: Science: Natural history,Plymouth County (Mass.),Text,31250,"Feb 11, 2010",Public domain in the USA.,53 downloads in the last 30 days.,$0.00,,20026567,,,,,,,,,,,,,,,
"Sharp, Dallas Lore, 1870-1929","Horsfall, R. Bruce (Robert Bruce), 1869-1948",The Spring of the Year,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,42144,"Feb 20, 2013",Public domain in the USA.,53 downloads in the last 30 days.,$0.00,,12015828,,,,,,,,,,,,,,,
"Jefferies, Richard, 1848-1887",,The Hills and the Vale,English,QH: Science: Natural history,Country life -- England,Text,31710,"Mar 20, 2010",Public domain in the USA.,51 downloads in the last 30 days.,$0.00,,,,,,,,,Introduction -- Choosing a gun -- Skating -- Marlborough Forest -- Village churches -- Birds of spring -- The spring of the year -- Vignettes from nature -- A king of acres -- The story of Swindon -- Unequal agriculture -- Village organization -- The idle earth -- After the county franchise -- The Wiltshire labourer -- On the downs -- The sun and the brook -- Nature and eternity -- The dawn.,,,,"Thomas, Edward, 1878-1917",,,,
"Burroughs, John, 1837-1921",,"Birds and Bees, Sharp Eyes, and Other Papers",English,QH: Science: Natural history,Natural history -- Outdoor books,Text,3163,"Apr 1, 2002",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,,,,,,,,,Birds -- Bird enemies -- The Tragedies of the Nests -- Bees -- An Idyl of the Honey-Bee -- The Pastoral Beese birch -- Sharp eyes -- The apple -- A taste of Maine birch -- Winter neighbors -- Notes by the way.,,,,,,,,
"Burroughs, John, 1837-1921",,Winter Sunshine,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,4279,"Jul 1, 2003",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,,,,,,,,,Winter sunshine -- The exhilarations of the road -- The snow-walkers -- The fox -- A March chronicle -- Autumn tides -- The apple -- An October abroad,,,,,,,,
"Burroughs, John, 1837-1921",,Wake-Robin,English,QL: Science: Zoology,Birds -- United States,Text,4203,"Jul 1, 2003",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,,,,,,,,,The return of the birds -- In the hemlocks -- The Adirondacks -- Birds'-nests -- Spring at the capital -- Birch browsings -- The bluebird -- Invitation.,"There is an improved edition of this title, eBook #35712",,,,,,,
"Robinson, Rowland Evans, 1833-1900",,In New England Fields and Woods,English,QH: Science: Natural history,Natural history -- New England,Text,36844,"Jul 25, 2011",Public domain in the USA.,42 downloads in the last 30 days.,$0.00,,09002653,,,,,,,,,,,,,,,
"Abbott, Charles C. (Charles Conrad), 1843-1919",,Travels in a Tree-top,English,PS: Language and Literatures: American and Canadian literature,Natural history -- Outdoor books,Text,55805,"Oct 24, 2017",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,,12002755,,,,,,,Travels in a tree-top -- A hunt for the pyxie -- The coming of the birds -- The building of the nest -- Corn-stalk fiddles -- The old kitchen door -- Up the creek -- A winter-night's outing -- Wild life in water -- An old-fashioned garden -- An Indian trail -- A pre-Columbian dinner -- A day's digging -- Drifting -- Footprints -- Bees and buckwheat -- Dead leaves.,,,,,,,,
"Kirkham, Stanton Davis, 1868-1944",,In the Open: Intimate Studies and Appreciations of Nature,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,42591,"Apr 25, 2013",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,,08024897,,,,,,,The point of view -- Signs of spring -- Bird life -- Songs of the woods -- Wild gardens -- Weeds -- Insect lore -- The ways of the ant -- Autumn studies -- Pasture stones -- Neighbors -- The winter woods -- Laughing waters -- The mountains -- The forest -- The sea.,,,,,,,,
"Sharp, Dallas Lore, 1870-1929",,The Face of the Fields,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,42444,"Mar 31, 2013",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,,11005205,,,,,,,The face of the fields -- Turtle eggs for Agassiz -- The edge of night -- The scarcity of skunks -- The nature-writer -- John Burroughs -- Hunting the snow -- The clam farm -- The commuter's Thanksgiving.,,,,,,,,
"Burroughs, John, 1837-1921","Johnson, Clifton, 1865-1940",In the Catskills: Selections from the Writings of John Burroughs,English,QH: Science: Natural history,Catskill Mountains Region (N.Y.) -- Literary collections,Text,14108,"Nov 21, 2004",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,,10021755,,,,,,,The snow-walkers -- A white day and a red fox -- Phases of farm life -- In the hemlocks -- Birds'-nests -- The heart of the southern Catskills -- Speckled trout -- A bed of boughs.,,,,,,,,
