Author,Illustrator,Title,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Editor,LoC No.,Imprint,Summary,Contributor,Engraver,Translator,Alternate Title,Contents,Note,Commentator,Annotator,"Author of introduction, etc.",Edition,Creator,Series Title,Uniform Title
"Cory, David, 1872-1966","Spencer, Hugh, 1887-1975",Billy Bunny and Daddy Fox,English,PZ: Language and Literatures: Juvenile belles lettres,Foxes -- Juvenile fiction,Text,35090,"Jan 27, 2011",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Garis, Howard Roger, 1873-1962","Campbell, Lang, 1882-1937","Uncle Wiggily's Auto Sledor, How Mr. Hedgehog Helped Him Get Up the Slippery Hill; and, How Uncle Wiggily Made a Snow Pudding. Also, What Happened in the Snow Fort",English,PZ: Language and Literatures: Juvenile belles lettres,Tricksters -- Juvenile fiction,Text,50405,"Nov 7, 2015",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ewing, Juliana Horatia, 1841-1885",,Brothers of Pity and Other Tales of Beasts and Men,English,PZ: Language and Literatures: Juvenile belles lettres,Animals -- Juvenile fiction,Text,16121,"Jun 23, 2005",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,,,Brothers of Pity -- Father Hedgehog and His Neighbours -- Toots and Boots -- The Hens of Hencastle -- Flaps -- A Week Spent in a Glass Pond -- Among the Merrows -- Tiny's Tricks and Toby's Tricks -- The Owl in the Ivy Bush.,,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965","Cady, Harrison, 1877-1970",The Adventures of Bob White,English,PZ: Language and Literatures: Juvenile belles lettres,Northern bobwhite -- Juvenile fiction,Text,46950,"Sep 24, 2014",Public domain in the USA.,40 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Ellis, Edward Sylvester, 1840-1916",,"The Jungle Fugitives: A Tale of Life and Adventure in IndiaIncluding also Many Stories of American Adventure, Enterprise and Daring",English,PZ: Language and Literatures: Juvenile belles lettres,"India -- History -- Sepoy Rebellion, 1857-1858 -- Juvenile fiction",Text,16805,"Oct 6, 2005",Public domain in the USA.,40 downloads in the last 30 days.,$0.00,,,,,,,,,The Jungle Fugitives -- Lost in the Woods -- In the Nick of Time -- Lost in the South Sea -- An Unpleasant Companion -- A Stirring Incident -- Cyclones and Tornadoes -- Lost in a Blizzard -- Throwing the Riata -- A Waterspout -- An Heroic Woman -- The Writing Found in a Bottle -- That Hornet's Nest -- A Young Hero -- Overreached -- A Battle in the Air -- Who Shall Explain It? -- A Fool of a Genius,,,,,,,,
"Blaisdell, Mary Frances, 1874-","Kerr, George F., 1869-1953",Bunny Rabbit's Diary,English,PZ: Language and Literatures: Juvenile belles lettres,Rabbits -- Juvenile fiction,Text,16982,"Nov 2, 2005",Public domain in the USA.,40 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949","Fagan, Eleanore",The Tale of Master Meadow Mouse,English,PZ: Language and Literatures: Juvenile belles lettres,Escapes -- Juvenile fiction,Text,24872,"Mar 19, 2008",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Reed, Myrtle, 1874-1911","Newell, Peter, 1862-1924",The Book of Clever Beasts: Studies in Unnatural History,English,PZ: Language and Literatures: Juvenile belles lettres,"Animals, Mythical -- Juvenile fiction",Text,53812,"Dec 27, 2016",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,,,,,,,,,"Little Upsidaisi  -- Jagg, the Skootaway Goat  -- Snoof  -- Kitchi-Kitchi  -- Jim Crow  -- Hoop-La  -- Jenny Ragtail  -- Hoot-Mon  -- Appendix.",,,,,,,,
"Cory, David, 1872-1966","Babcock, Elizabeth Jones, 1887-1963","The Adventures of Puss in Boots, Jr.",English,PZ: Language and Literatures: Juvenile belles lettres,Cats -- Juvenile fiction,Text,32095,"Apr 22, 2010",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Bailey, Arthur Scott, 1877-1949","Smith, Harry L.",The Tale of Daddy LonglegsTuck-Me-In Tales,English,PZ: Language and Literatures: Juvenile belles lettres,Conduct of life -- Juvenile fiction,Text,21426,"May 13, 2007",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,
"Smith, E. Boyd (Elmer Boyd), 1860-1943",,The Story of Noah's Ark,English,PZ: Language and Literatures: Juvenile belles lettres,Deluge -- Juvenile fiction,Text,56270,"Dec 31, 2017",Public domain in the USA.,38 downloads in the last 30 days.,$0.00,,,,,,,,,,Illustrated by the author.,,,,,,,
"Mamin-Siberiak, D. N. (Dmitrii Narkisovich), 1852-1912","Artzybasheff, Boris, 1899-1965",Verotchka's Tales,English,PZ: Language and Literatures: Juvenile belles lettres,Fairy tales -- Russia,Text,35036,"Jan 22, 2011",Public domain in the USA.,38 downloads in the last 30 days.,$0.00,,,,,,,"Davidson, Ray",,,,,,,,,,
