Author,Title,Contents,Language,LoC Class,Subject,Category,EBook-No.,Release Date,Copyright Status,Downloads,Price,Illustrator,Compiler,Editor,Translator,Imprint,Note,LoC No.,Alternate Title,Commentator,"Author of introduction, etc.",Series Title,Contributor,Composer,Collaborator,Adapter,Performer,Uniform Title,Creator
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Mother West Wind 'Why' Stories,Why Striped Chipmunk is proud of his stripes -- Why Peter Rabbit cannot fold his hands -- Why Unc' Billy Possum plays dead -- Why Reddy Fox wears red -- Why Jimmy Skunk never hurries -- Why Sammy Jay has a fine coat -- Why Jerry Muskrat builds his house in the water -- Why Old Man Coyote has many voices -- Why Miner the Mole lives under ground -- Why Mr. Snake cannot wink -- Why Bobby Coon has rings on his tail -- Why there is a black head in the buzzard family -- Why Buster Bear appears to have no tail -- Why Flitter the Bat flies at night -- Why Spotty the Turtle carries his house with him -- Why Paddy the Beaver has a broad tail.,English,PZ: Language and Literatures: Juvenile belles lettres,"Children's stories, American",Text,14958,"Feb 7, 2005",Public domain in the USA.,78 downloads in the last 30 days.,$0.00,"Cady, Harrison, 1877-1970",,,,,,,,,,,,,,,,,
"Rees, Alfred Wellesley, 1872-1917",Creatures of the Night: A Book of Wild Life in Western Britain,"The otter: I. The holt among the alders. II. The pool beneath the farmstead. III. The gorge of Alltycafn.The water-vole: I. Our village hounds. II. The burrow in the river bank. III. Wild hunting. IV. Saved by an enemy. V. The courage of fear.The field-vole: I. Hidden pathways in the grass. II. The valley of Olwen. III. A barren hillside.The fox: I. The last hunt. II. A new home. III. The cub and the polecat. IV. A cry of the night.The brown hare: I. The upland cornfield. II. March madness. III. The chase.The badger: I. A woodland solitude. II. Home discipline. III. Fear of the trap. IV. The winter ""oven."" V. Hillside trails.The hedgehog: I. A vagabond hunter. II. An experience in snake-killing.Night in the woods: I. Haunts of the badger and the fox. II. The Crag of Vortigern.",English,QL: Science: Zoology,Animals -- Anecdotes,Text,29349,"Jul 8, 2009",Public domain in the USA.,68 downloads in the last 30 days.,$0.00,,,,,,,06012146,,,,,,,,,,,
"Holden, Fox B., 1923-",Beyond the X Ecliptic,,English,PS: Language and Literatures: American and Canadian literature,Adventure stories,Text,64314,"Jan 16, 2021",Public domain in the USA.,68 downloads in the last 30 days.,$0.00,"Vestal, Herman B., 1916-2007",,,,,,,,,,,,,,,,,
"Cabell, James Branch, 1879-1958",Chivalry,The story of the sestina -- The story of the tenson -- The story of the rat-trap -- The story of the choices -- The story of the housewife --The story of the satraps -- The story of the heritage -- The story of the scabbard -- The story of the Navarrese -- The story of the fox-brush.,English,PS: Language and Literatures: American and Canadian literature,Middle Ages -- Fiction,Text,22463,"Aug 26, 2008",Public domain in the USA.,67 downloads in the last 30 days.,$0.00,"Pyle, Howard, 1853-1911",,,,,,,,,,,,,,,,,
"Doyle, Arthur Conan, 1859-1930","The Green Flag, and Other Stories of War and Sport",The green flag -- Captain Sharkey -- The Croxley master -- The Lord of Château Noir -- The striped chest -- A shadow before -- The king of the foxes -- The three correspondents -- The new catacomb -- The début of Bimbashi Joyce -- A Foreign Office romance.,English,PR: Language and Literatures: English literature,"Sports stories, English",Text,10446,"Dec 1, 2003",Public domain in the USA.,66 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",The Trail of the Lonesome Pine,,English,PS: Language and Literatures: American and Canadian literature,Cumberland Mountains -- Fiction,Text,5122,"Feb 1, 2004",Public domain in the USA.,65 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Carryl, Guy Wetmore, 1873-1904",Fables for the Frivolous,The ambitious fox and the unapproachable grapes -- The persevering tortoise and the pretentious hare -- The patrician peacocks and the overweening jay -- The arrogant frog and the superior bull -- The domineering eagle and the inventive bratling -- The iconoclastic rustic and the apropos acorn -- The unusual goose and the imbecilic woodcutter -- The rude rat and the unostentatious oyster -- The urban rat and the suburban rat -- The impecunious cricket and the frugal ant -- The pampered lapdog and the misguided ass -- The vainglorious oak and the modest bullrush -- The inhuman wolf and the lamb sans gene -- The sycophantic fox and the gullible raven -- The microscopic trout and the machiavellian fisherman -- The confiding peasant and the maladroit bear -- The precipitate cock and the unappreciated pearl -- The abbreviated fox and his sceptical comrades -- The hospitable caledonian and the thankless viper -- The impetuous breeze and the diplomatic sun.,English,PS: Language and Literatures: American and Canadian literature,Humorous poetry,Text,6438,"Sep 1, 2004",Public domain in the USA.,64 downloads in the last 30 days.,$0.00,"Newell, Peter, 1862-1924",,,,,,,,,,,,,,,,,
"Surtees, Robert Smith, 1805-1864","""Ask Mamma""; or, The Richest Commoner In England",,English,PR: Language and Literatures: English literature,Fox hunting -- Fiction,Text,44822,"Feb 2, 2014",Public domain in the USA.,63 downloads in the last 30 days.,$0.00,"Leech, John, 1817-1864",,,,,,,,,,,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",When Kohonnes Screamed,,English,PS: Language and Literatures: American and Canadian literature,Adventure stories,Text,64658,"Feb 28, 2021",Public domain in the USA.,63 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Walker, Abbie Phillips, 1867-",Sandman's Goodnight Stories,The Eatyoup -- The tell-tale Goblin -- Dame Cricket's story -- The playroom wedding -- Morning-glory -- The peacock butterflies -- The revenge of the Gnomes -- The little China Shepherdess -- How the Buttercup grew yellow -- Was it the Field Fairy? -- The frogs and the Fairies -- Jack the preacher -- Mr. Crow goes and tells -- Discontented Dewdrop -- Inquisitive Mr. Possum -- What the flowers told Martha -- When Jack Frost was young -- The revenge of the fireflies -- Sallie Hicks's forefinger -- The Rain Elves -- Mr. Fox's housewarming -- Little Pitcher-man -- The Windflower's story -- Pussy Willow's furs -- Orianna -- Old North Wind -- Mr. Fox cuts the Cottontails -- Little Never-upset.,English,PZ: Language and Literatures: Juvenile belles lettres,Children's stories,Text,20962,"Apr 2, 2007",Public domain in the USA.,63 downloads in the last 30 days.,$0.00,"Chase, Rhoda",,,,,,,,,,,,,,,,,
"Froude, James Anthony, 1818-1894",Short Studies on Great Subjects,The science of history -- Times of Erasmus and Luther -- The influence of the reformation on the Scottish character -- The philosophy of Catholicism -- A plea for the free discussion of theological difficulties -- Criticism and the gospel history -- The book of Job -- Spinoza -- The dissolution of the monasteries -- England's forgotten worthies -- Homer -- The lives of the saints -- Representative men -- Reynard the Fox -- The cat's pilgrimage -- Fables: I. The lions and the oxen. II. The farmer and the fox -- Parable of the bread-fruit tree -- Compensation.,English,PR: Language and Literatures: English literature,Religion -- Biography,Text,20755,"Mar 6, 2007",Public domain in the USA.,63 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Roberts, Charles G. D., Sir, 1860-1943",Red FoxThe Story of His Adventurous Career in the Ringwaak Wilds and of His Final Triumph over the Enemies of His Kind,,English,QL: Science: Zoology,Red fox -- Anecdotes,Text,46005,"Jun 16, 2014",Public domain in the USA.,61 downloads in the last 30 days.,$0.00,"Bull, Charles Livingston, 1874-1932",,,,,,05032714,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",The Little Shepherd of Kingdom Come,,English,PS: Language and Literatures: American and Canadian literature,"Kentucky -- History -- Civil War, 1861-1865 -- Fiction",Text,2059,"Feb 1, 2000",Public domain in the USA.,61 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Harris, Joel Chandler, 1848-1908",Told by Uncle Remus: New Stories of the Old Plantation,The reason why -- Why Mr. Cricket has elbows on his legs -- How Wiley Wolf rode in the bag -- Brother Rabbit's laughing-place -- Brother Rabbit and the chickens -- Little Mister Cricket and the other creatures -- When Brother Rabbit was King -- How old Craney-Crow lost his head -- Brother Fox follows the fashion -- Why the turkey-buzzard is bald-headed -- Brother Deer an' King Sun's daughter -- Brother Rabbit's cradle -- Brother Rabbit and Brother Bull-Frog -- Why Mr. Dog is tame -- Brother Rabbit and the gizzard eater -- Brother Rabbit and Miss Nancy -- The hard-headed woman.,English,PZ: Language and Literatures: Juvenile belles lettres,"Remus, Uncle (Fictitious character) -- Juvenile fiction",Text,55676,"Oct 3, 2017",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,"Ver Beck, Frank, 1858-1933",,,,,,,,,,,,,,,,,
"Underhill, A. Leah (Ann Leah), 1814-1890",The Missing Link in Modern Spiritualism,,English,"BF: Philosophy, Psychology, Religion: Psychology, Philosophy, Psychoanalysis",Fox family,Text,40485,"Aug 13, 2012",Public domain in the USA.,58 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Pierson, Clara Dillingham",Among the Night People,The black Spanish chickens -- The wigglers become mosquitoes -- The naughty raccoon children -- The timid little ground hog -- The young raccoons go to a party -- The skunks and the ovenbird's nest -- The lazy cut-worms -- The night moth's party -- The lonely old bachelor muskrat -- The greedy red fox -- The unfortunate fireflies -- The kittens come to the forest -- The inquisitive weasels -- The thrifty deer-mouse -- The humming-bird and the hawk-moth.,English,PZ: Language and Literatures: Juvenile belles lettres,Children's stories,Text,35014,"Jan 20, 2011",Public domain in the USA.,56 downloads in the last 30 days.,$0.00,"Gordon, F. C., 1856-1924",,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",The Women-Stealers of Thrayx,,English,PS: Language and Literatures: American and Canadian literature,Life on other planets -- Fiction,Text,31523,"Mar 6, 2010",Public domain in the USA.,56 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Somerville, E. Oe. (Edith Oenone), 1858-1949",Further Experiences of an Irish R.M.,"The pug-nosed fox -- A royal command -- Poisson d'Avril -- ""The man that came to buy apples"" -- A conspiracy of silence -- The boat's share -- The last day of Shraft -- ""A horse! A horse!"" -- Sharper than a ferret's tooth -- Oweneen the Sprat -- The Whiteboys.",English,PR: Language and Literatures: English literature,Justices of the peace -- Fiction,Text,38108,"Nov 22, 2011",Public domain in the USA.,56 downloads in the last 30 days.,$0.00,,,,,,,,Further Experiences of an Irish Resident Magistrate,,,,,,,,,,
"Surtees, Robert Smith, 1805-1864",Jorrocks' Jaunts and Jollities,,English,PR: Language and Literatures: English literature,Fox hunting -- Fiction,Text,15387,"Mar 16, 2005",Public domain in the USA.,55 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",Sword of the Seven Suns,,English,PS: Language and Literatures: American and Canadian literature,Life on other planets -- Fiction,Text,64364,"Jan 21, 2021",Public domain in the USA.,55 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Pitt-Rivers, Augustus Henry Lane-Fox, 1827-1900","The Evolution of Culture, and Other Essays",Principles of classification (1874) -- On the evolution of culture (1875) -- Primitive warfare I-III (1867-1869) -- Early modes of navigation (1874).,English,"GN: Geography, Anthropology, Recreation: Anthropology",Anthropology,Text,44844,"Feb 8, 2014",Public domain in the USA.,54 downloads in the last 30 days.,$0.00,,,"Myres, John Linton, Sir, 1869-1954",,,,,,,"Balfour, Henry, 1863-1939",,,,,,,,
"Burgess, Thornton W. (Thornton Waldo), 1874-1965",Mother West Wind's Children,"Danny Meadow Mouse learns why his tale is short -- Why Reddy Fox has no friends -- Why Peter Rabbit's ears are long -- Reddy Fox disobeys -- Striped Chipmunk's pockets -- Reddy Fox, the boaster -- Johnny Chuck's secret -- Johnny Chuck's great fight -- Mr. Toad's old suit -- Grandfather Frog gets even -- The disappointed bush -- Why Bobby Coon washes his food -- The Merry Little Breezes have a busy day -- Why Hooty the Owl does not play on the Green Meadows -- Danny Meadow Mouse learns to laugh.",English,PZ: Language and Literatures: Juvenile belles lettres,"Children's stories, American",Text,20877,"Mar 22, 2007",Public domain in the USA.,53 downloads in the last 30 days.,$0.00,"Kerr, George F., 1869-1953",,,,,,,,,,,,,,,,,
"James, William Dobein, 1764-1830",A Sketch of the Life of Brig. Gen. Francis Marion and a History of His Brigade,,English,E201: History: America: Revolution (1775-1783),United States. Continental Army -- Biography,Text,923,"May 1, 1997",Public domain in the USA.,52 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",The Man the Tech-Men Made,,English,PS: Language and Literatures: American and Canadian literature,Technology -- Fiction,Text,63942,"Dec 2, 2020",Public domain in the USA.,52 downloads in the last 30 days.,$0.00,"Freas, Kelly, 1922-2005",,,,,,,,,,,,,,,,,
"Fox, Frank, 1874-1960",Bulgaria,,English,"DR: History: General and Eastern Hemisphere: Balkan Peninsula, Turkey",Bulgaria -- Description and travel,Text,22257,"Aug 6, 2007",Public domain in the USA.,52 downloads in the last 30 days.,$0.00,"Pocock, Noel",,,,,,a16000701,,,,,,,,,,,
"Somerville, E. Oe. (Edith Oenone), 1858-1949",Some Experiences of an Irish R.M.,"Great-Uncle McCarthy -- In the Curranhilty country -- Trinket's colt -- The waters of strife -- Lisheen races, second-hand -- Philippa's fox-hunt -- A misdeal -- The holy island -- The policy of the closed door -- The house of Fahy -- Occasional licenses -- ""Oh love! Oh fire!""",English,PR: Language and Literatures: English literature,Justices of the peace -- Fiction,Text,34630,"Jan 15, 2011",Public domain in the USA.,49 downloads in the last 30 days.,$0.00,,,,,,,,Some experiences of an Irish Resident Magistrate,,,,,,,,,,
"Ostrander, Isabel, 1883-1924",The Fifth Ace,,English,PS: Language and Literatures: American and Canadian literature,Detective and mystery stories,Text,23885,"Dec 17, 2007",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,"Gage, George W., 1887-1957",,,,,,18012303,,,,,,,,,,,
"Iriarte, Tomás de, 1750-1791",Literary Fables of Yriarte,"The elephant and other animals -- The silkworm and spider -- The bear, the monkey and the hog -- The drones and the bee -- The two parrots and the magpie -- The showman's monkey and his master -- The cathedral bell and the little bell -- The ass and the flute -- The ant and the flea -- The wall-flower and the thyme -- The rabbits and the dogs -- The eggs -- The duck and the snake -- The muff, the fan, and the umbrella -- The frog and the tadpole -- The bustard -- The linnet and the swan -- The hack mule -- The goat and the horse -- The bee and the cuckoo -- The bat and the cat -- The owl and lamp, and the dogs and the ragman -- The thrush, parrot and magpie -- The wolf and the shepherd -- The lion, eagle and bat -- The monkey -- The ass and his master -- The turnspit and the mule of the well -- The author and the rat -- The squirrel and the horse -- The fop and the lady -- The ostrich, the dromedary, and the fox -- The crow and the turkey -- The silkworm and the caterpillar -- The purchase of the ass -- The ox and the grasshopper -- The macaw and the marmot -- The portrait -- The two inns -- The tea-plant and sage -- The cat, the lizard, and the cricket -- The concert of the beasts -- The sword and the spit -- The unfortunates -- The cocks -- The monkey and the magpie -- The nightingale and the sparrow -- The gardener and his master -- The two thrushes -- The lace-makers -- The hunter and his ferret -- The pig, the cock and the lamb -- The flint and the steel -- The judge and the robber -- The housemaid and the broom -- The lizards -- The watches -- The mole and other animals -- The rope-danger -- The owl and the toad -- The oil merchant's ass -- The connoisseurs -- The frog and the hen -- The beetle -- The rich man's library -- The viper and the leech.",English,"PQ: Language and Literatures: Romance literatures: French, Italian, Spanish, Portuguese","Fables, Spanish -- Translations into English",Text,39640,"May 7, 2012",Public domain in the USA.,47 downloads in the last 30 days.,$0.00,,,,"Devereux, George H. (George Humphrey), -1878",,,16004127,,,,,,,,,,,
"Burroughs, John, 1837-1921",Winter Sunshine,Winter sunshine -- The exhilarations of the road -- The snow-walkers -- The fox -- A March chronicle -- Autumn tides -- The apple -- An October abroad,English,QH: Science: Natural history,Natural history -- Outdoor books,Text,4279,"Jul 1, 2003",Public domain in the USA.,46 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"M'Clintock, Francis Leopold, Sir, 1819-1907",In the Arctic SeasA Narrative of the Discovery of the Fate of Sir John Franklin and his Companions,,English,"G: Geography, Anthropology, Recreation","M'Clintock, Francis Leopold, Sir, 1819-1907 -- Travel -- Arctic regions",Text,37669,"Oct 8, 2011",Public domain in the USA.,45 downloads in the last 30 days.,$0.00,,,,,,,,,,"Murchison, Roderick Impey, Sir, 1792-1871",,,,,,,,
"Breck, John",The Sins of Silvertip the Fox,,English,PZ: Language and Literatures: Juvenile belles lettres,Farms -- Juvenile fiction,Text,64162,"Dec 28, 2020",Public domain in the USA.,45 downloads in the last 30 days.,$0.00,"Andrews, William T.",,,,,,,,,,Told at twilight stories,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",Werwile of the Crystal Crypt,,English,PS: Language and Literatures: American and Canadian literature,Archaeologists -- Fiction,Text,64531,"Feb 12, 2021",Public domain in the USA.,45 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Boschère, Jean de, 1878-1953",Beasts & MenFolk Tales Collected in Flanders and Illustrated by Jean de Bosschère,Ups and downs -- The three monkeys -- How the goldfinch got his colours -- The cock and the fox -- The most cunning animal -- Sponsken and the giant -- Why cats always wash after eating -- The choristers of St. Gudule -- The trial of Reynard the Fox -- The magic cap -- Sugar-candy house -- Poor Peter -- The peasant and his ass -- The king of the birds -- A drum full of bees -- The drunken rooks -- The battle of the birds and beasts -- The end of the world -- The reward of the world -- One bad turn begets another -- The peasant and the satyrs -- The two friends and the barrel of grease -- Why the bear has a stumpy tail -- The witch's cat.,English,PZ: Language and Literatures: Juvenile belles lettres,Folklore -- Flanders,Text,46960,"Sep 25, 2014",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,,,,,,Illustrated by the author.,,,,,,,,,,,,
"Holden, Fox B., 1923-",A Gift For Terra,,English,PS: Language and Literatures: American and Canadian literature,Human-alien encounters -- Fiction,Text,32487,"May 23, 2010",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,"Orban, Paul, 1896-1974",,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",Task Mission,,English,PS: Language and Literatures: American and Canadian literature,Extrasolar planets -- Fiction,Text,59174,"Mar 31, 2019",Public domain in the USA.,44 downloads in the last 30 days.,$0.00,"Orban, Paul, 1896-1974",,,,,,,,,,,,,,,,,
"Carter, Herbert, active 1909-1917","The Boy Scouts in the Maine Woods; Or, The New Test for the Silver Fox Patrol",,English,PZ: Language and Literatures: Juvenile belles lettres,Maine -- Juvenile fiction,Text,31389,"Feb 25, 2010",Public domain in the USA.,42 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Goethe, Johann Wolfgang von, 1749-1832",Reineke Fuchs,,German,"PT: Language and Literatures: Germanic, Scandinavian, and Icelandic literatures",Reynard the Fox (Legendary character) -- Poetry,Text,2228,"Jun 1, 2000",Public domain in the USA.,42 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",Dearest Enemy,,English,PS: Language and Literatures: American and Canadian literature,Astronauts -- Fiction,Text,59575,"May 22, 2019",Public domain in the USA.,42 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",Down Went McGinty,,English,PS: Language and Literatures: American and Canadian literature,Cold War -- Fiction,Text,63703,"Nov 10, 2020",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,"Eberle, Joseph, 1926-2006",,,,,,,,,,,,,,,,,
"Cory, David, 1872-1966",Billy Bunny and Daddy Fox,,English,PZ: Language and Literatures: Juvenile belles lettres,Foxes -- Juvenile fiction,Text,35090,"Jan 27, 2011",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,"Spencer, Hugh, 1887-1975",,,,,,,,,,,,,,,,,
"Fox, Frank, 1874-1960",The King's Pilgrimage,,English,D501: History: General and Eastern Hemisphere: World War I (1914-1918),"World War, 1914-1918 -- Cemeteries",Text,36075,"May 10, 2011",Public domain in the USA.,41 downloads in the last 30 days.,$0.00,,,,,,,51054497,,,,,"Kipling, Rudyard, 1865-1936",,,,,,
"Davenport, Reuben Briggs, -1932",The Death-Blow to Spiritualism: Being the True Story of the Fox Sisters,,English,"BF: Philosophy, Psychology, Religion: Psychology, Philosophy, Psychoanalysis",Mediums -- New York (State) -- Rochester,Text,33506,"Aug 23, 2010",Public domain in the USA.,40 downloads in the last 30 days.,$0.00,,,,,,,2007581527,,,,,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",Vassals of the Lode-Star,,English,PS: Language and Literatures: American and Canadian literature,Adventure stories,Text,64342,"Jan 19, 2021",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,"Napoli, Vincent, 1907-1981",,,,,,,,,,,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",Engines of the Gods,,English,PS: Language and Literatures: American and Canadian literature,Mars (Planet) -- Fiction,Text,63786,"Nov 17, 2020",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,"Kiemle, H. W. (Henry William), 1908-1969",,,,,,,,,,,,,,,,,
"Holden, Fox B., 1923-",A Matter of Order,,English,PS: Language and Literatures: American and Canadian literature,Space colonies -- Fiction,Text,59504,"May 14, 2019",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,"Finlay, Virgil, 1914-1971",,,,,,,,,,,,,,,,,
Various,"Encyclopaedia Britannica, 11th Edition, ""Foraminifera"" to ""Fox, Edward""Volume 10, Slice 6",,English,AE: General Works: Encyclopedias,Encyclopedias and dictionaries,Text,35925,"Apr 20, 2011",Public domain in the USA.,39 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",The Heart of the Hills,,English,PS: Language and Literatures: American and Canadian literature,Environmental protection -- Fiction,Text,5145,"Feb 1, 2004",Public domain in the USA.,38 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Pitt-Rivers, Augustus Henry Lane-Fox, 1827-1900",Antique Works of Art from BeninCollected by Lieutenant-General Pitt Rivers,,English,"NK: Fine Arts: Decorative and Applied Arts, Decoration and Ornament",Art objects -- Nigeria -- Benin City -- Catalogs,Text,44014,"Oct 22, 2013",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,,,,,,,09019798,,,,,,,,,,,
"Smiles, Samuel, 1812-1904",Industrial Biography: Iron Workers and Tool Makers,Iron and civilization -- Beginnings of the iron manufacturer in Britain -- Iron-smelting by pit-coal; Dud Dudley -- Andrew Yarranton -- Coalbrookdale Iron-works; The Darbys and Reynoldses -- Invention of cast-steel; Benjamin Huntsman -- The inventions of Henry Cort -- The Scotch iron manufacture; Dr. Roebuck; David Mushet -- Invention of the hot-blast; James Beaumont Neilson -- Mechanical inventions and inventors -- Joseph Bramah -- Henry Maudslay -- Joseph Clement -- Fox of Derby; Murray of Leeds; Roberts and Whitworth of Manchester -- James Nasmyth -- William Fairbairn.,English,T: Technology,Iron industry and trade -- Great Britain -- Biography,Text,404,"Jan 1, 1996",Public domain in the USA.,37 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Burroughs, John, 1837-1921",In the Catskills: Selections from the Writings of John Burroughs,The snow-walkers -- A white day and a red fox -- Phases of farm life -- In the hemlocks -- Birds'-nests -- The heart of the southern Catskills -- Speckled trout -- A bed of boughs.,English,QH: Science: Natural history,Catskill Mountains Region (N.Y.) -- Literary collections,Text,14108,"Nov 21, 2004",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,"Johnson, Clifton, 1865-1940",,,,,,10021755,,,,,,,,,,,
"Terhune, Albert Payson, 1872-1942",The Heart of a Dog,"Fox! -- The coming of Lad -- The meanest man -- The tracker -- ""Youth will be served!"" -- Lochinvar Bobby -- ""One minute longer"" -- Afterward.",English,PZ: Language and Literatures: Juvenile belles lettres,Collie -- Juvenile fiction,Text,61429,"Feb 17, 2020",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,"Kirmse, Marguerite, 1885-1954",,,,,,,,,,,,,,,,,
"Hume, Ruth Fox, 1922-1980",The Lion of Poland: The Story of Paderewski,,English,ML: Music: Literature of music,Statesmen -- Poland -- Biography -- Juvenile literature,Text,59591,"May 24, 2019",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,"Réthi, Lili, 1894-1969",,,,,,62016226,,,,,,,,,,,
"Thwaites, Reuben Gold, 1853-1913","Historic Waterways—Six Hundred Miles of Canoeing Down the Rock, Fox, and Wisconsin Rivers",,English,F516: United States local history: Ohio River and Valley.,Wisconsin River (Wis.),Text,38556,"Jan 12, 2012",Public domain in the USA.,36 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
Broadway Dance Orchestra,"Bring Back My Blushing Rose (""Sally Won't You Come Back"")Foxtrot Medley",,English,M: Music,Dance orchestra music,Sound,10408,"Dec 1, 2003",Public domain in the USA.,35 downloads in the last 30 days.,$0.00,,,,,,"Friml composed ""Bring Back My Blushing Rose""; Stamper composed ""Sally, Won't You Come Back"".",,,,,,,"Stamper, Dave, 1883-1963",,,,,
"Fox, Frank, 1874-1960",Problems of the Pacific,The ocean of the future  -- Russia in the Pacific  -- The rise of Japan  -- China and the teeming millions of Asia  -- The United States: an imperial power  -- Great Britain's entry into the Pacific  -- The British continent in the Pacific  -- New Zealand and the smaller British Pacific colonies -- The native races -- Latin America -- Canada and the Pacific -- The navies of the Pacific -- The armies of the Pacific -- Treaties in the Pacific -- The Panama Canal -- The industrial position in the Pacific -- Some strategical considerations -- The rivals.,English,DU: History: General and Eastern Hemisphere: History of Oceania (South Seas),"Competition, International",Text,40305,"Jul 23, 2012",Public domain in the USA.,35 downloads in the last 30 days.,$0.00,,,,,,,12019373,,,,,,,,,,,
"Hargrave, John, 1894-1982","At Suvla BayBeing the notes and sketches of scenes, characters and adventures of the Dardanelles campaign, made by John Hargrave (""White Fox"") while serving with the 32nd field ambulance, X division, Mediterranean expeditionary force, during the great war.",,English,D501: History: General and Eastern Hemisphere: World War I (1914-1918),"World War, 1914-1918 -- Medical care",Text,3306,"Jul 1, 2002",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",A Cumberland Vendetta,,English,PS: Language and Literatures: American and Canadian literature,Cumberland Mountains -- Fiction,Text,3022,"Jan 1, 2002",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,,,,,,,,,,,,,,,,
"Eastlake, Charles Lock, Sir, 1793-1865",The Country House (with Designs),,English,NA: Fine Arts: Architecture,Country homes -- England,Text,41781,"Jan 5, 2013",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,"Fox, Mary, Lady",,,,,,,,,,,,,,,
"Walpole, Horace, 1717-1797","Memoirs of the Reign of King George the Second, Volume 1 (of 3)",,English,"DA: History: General and Eastern Hemisphere: Great Britain, Ireland, Central Europe","Great Britain -- History -- George II, 1727-1760",Text,57016,"Apr 21, 2018",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,,,"Holland, Henry Richard Vassall, Baron, 1773-1840",,,,,"Memoirs of the Reign of King George II, Volume 1 (of 3)",,,,,,,,,,
"Otis, James, 1848-1912",With the Swamp Fox: A Story of General Marion's Young Spies,,English,PZ: Language and Literatures: Juvenile belles lettres,"Marion, Francis, 1732-1795 -- Juvenile fiction",Text,44651,"Jan 12, 2014",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,"Davis, J. Watson, 1870-1959",,,,,,,,,,,,,,,,,
"Fox, Gardner F. (Gardner Francis), 1911-1986",Tonight the Stars Revolt!,,English,PS: Language and Literatures: American and Canadian literature,Pirates -- Fiction,Text,64052,"Dec 15, 2020",Public domain in the USA.,34 downloads in the last 30 days.,$0.00,"Vestal, Herman B., 1916-2007",,,,,,,,,,,,,,,,,
"Fox, John, Jr., 1862-1919",Christmas Eve on Lonesome and Other Stories,Christmas Eve On Lonesome -- The Army Of The Callahan -- The Pardon Of Becky Day -- A Crisis For The Guard -- Christmas Night With Satan.,English,PS: Language and Literatures: American and Canadian literature,Kentucky -- Social life and customs -- Fiction,Text,10735,"Jan 1, 2004",Public domain in the USA.,33 downloads in the last 30 days.,$0.00,"Yohn, F. C. (Frederick Coffay), 1875-1933",,,,,,,,,,,,,,,,,
